 Product ID , Flange , Work Center , Length , Task ,Time(min),, Sum of Time(min) , Column Labels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6 , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,,, Housing Assembly ,,,,,,,,,,,,, Housing Assembly Total , Subassembly ,,, Subassembly Total , Drilling ,,, Drilling Total , Grand Total ,,,,,,,,,
 B6DLEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6DPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6I , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6ILEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6IPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6LEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6PAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6R , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6R , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6R , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RLED , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RLEDPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RLEDPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RLEDPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RV , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RV , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RV , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RVLED , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RVLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6RVLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6S , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6SLED , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6SLEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6SPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6W , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WD , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WDLED , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WI , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WILEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WIPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WLEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6WPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BB , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBD , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBDILED , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBDILEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBDLED , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBI , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBILED , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBILED2 , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBILEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBIPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBLED2 , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBLEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBR , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBR , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBR , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRLED , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRLEDPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up ,25.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRLEDPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRLEDPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRV , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRV , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRV , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRVLED , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRVLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBRVLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBS , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBSLED , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBSLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBSPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBW , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWD , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWDILED , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWDLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWI , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWILED , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWILEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWIPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWLEDPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BBWPAT , - , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BD , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BDI , - , Housing Assembly , CAD 12.00 , set-up ,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BDIW , - , Housing Assembly , CAD 12.00 , set-up ,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BDLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BI , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BILED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BILEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BIPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMD , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMDLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMI , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMILED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMILEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMIPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMR , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMR , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMR , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRLED , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRLEDPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRLEDPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRLEDPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRV , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRV , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRV , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRVLED , Flangeless , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRVLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMRVLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMS , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMSLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMSLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMSPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWD , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWDLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWI , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWILED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWILEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWIPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWV , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BMWVLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BR , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BR , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BR , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRLED , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRLEDPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRLEDPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRLEDPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRPAT , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRPAT , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRPAT , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRV , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRV , Spackle Flange , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRV , With Flanges , Housing Assembly , CAD 12.00 , set-up ,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRVLED , Flangeless , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRVLED , Spackle Flange , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BRVLED , With Flanges , Housing Assembly , CAD 12.00 , set-up , CAD 25.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BS , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BSLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BSLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BSPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWD , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWDLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWI , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWILED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWILEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWIPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWPAT , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWV , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 BWVLED , - , Housing Assembly , CAD 12.00 , set-up ,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TB , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBDILED , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBDILEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBDLED , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBDLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBDPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBILED , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBILEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBIPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBLEDPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBPAT , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TBW , - , Housing Assembly , CAD 12.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
